species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Lgla,Lgla3,Lgla3_R2,R2,MCZ89460,42.28,16.116873,3.024,4.585,ventral,0.221,-104.085,serial,0.005227058
Pgue,Pgue3,Pgue3_R3,R3,MCZ131481,102.3,34.134724,2.414,2.08,ventral,0.22,-84.685,serial,0.002150538
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,6.338,4.633,ventral,0.22,-83.517,serial,0.003307276
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,2.199,1.664,ventral,0.219,-120.79,serial,0.002222222
Sboa,Sboa2,Sboa2_R1,R1,MCZ129188,164.68,36.425522,1.203,3.96,ventral,0.219,-80.538,minute,0.001329852
Pgue,Pgue1,Pgue1_R3,R3,MCZ131481,95.69,36.162,4.96,2.269,ventral,0.217,-72.538,serial,0.00226774
Lgla,Lgla3,Lgla3_R2,R2,MCZ89460,42.28,16.116873,6.44,4.901,ventral,0.216,-112.431,serial,0.005108798
Mbar,Mbar2,Mbar2_R3,R3,MCZ163113,218.65,36.56124,4.717,2.903,ventral,0.216,-85.548,minute,0.00098788
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,4.113,3.736,ventral,0.216,-112.859,minute,0.001335477
Pgue,Pgue3,Pgue3_R3,R3,MCZ131481,102.3,34.134724,6.369,1.883,ventral,0.215,-76.293,serial,0.002101662
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,0.699,1.605,ventral,0.215,-88.636,serial,0.003232111
Tden,Tden5,Tden5_R2,R2,MCZ96771,62.62,17.292042,3.014,4.359,ventral,0.213,-132.737,serial,0.003401469
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,4.769,1.151,ventral,0.212,-111.687,minute,0.001509756
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,1.895,0.505,,0.212,NA,minute,0.000855322
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,4.574,0.569,,0.211,NA,minute,0.000851287
Ncap,Ncap2,Ncap2_R2,R2,MCZ132798,118.27,36.737701,6.038,1.989,ventral,0.211,-114.22,serial,0.001784053
Tden,Tden3,Tden3_R2,R2,MCZ96771,60.34,14.969294,3.627,4.748,ventral,0.211,-78.959,serial,0.003496851
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,0.792,1.762,ventral,0.21,-83.047,minute,0.00129838
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,2.185,4.62,ventral,0.209,-94.086,serial,0.003141912
